x,y,rssi1,rssi2,rssi3,rssi4
0,0,-72.35,-70.75,-68.45,-73.4
0,0,-68.65,-70.7,-64.85,-70.7
0,0,-65.4,-70.85,-66.95,-72
0,0,-69.2,-71.45,-63.65,-64
0,0,-70.6,-71.5,-66.35,-63.85
0,0,-73.25,-72,-67.1,-66.25
0,0,-32.4,-60.9,-68.55,-73.2
0,0,-32.65,-62.1,-73.4,-72.7
0,0,-50.25,-49.9,-68.6,-69.2
0,0,-61.65,-40.4,-67.25,-72.65
0,0,-61,-39.4,-68.9,-74.8
0,0,-62.45,-41.05,-66.4,-74.55
0,0,-59.3,-42.1,-67.4,-71.75
0,0,-62.3,-41.75,-67.8,-73
0,0,-70.65,-74.45,-66.85,-75.5
0,0,-69.3,-77.2,-68.6,-75.05
0,0,-69.15,-75.9,-66.8,-72.85
0,0,-73.45,-80.6,-68.2,-73.4
0,0,-74.7,-80.3,-70,-72.95
0,0,-49.2,-74,-66.65,-73.35
0,0,-29,-69.6,-63.9,-72.65
0,,-66.55,-76,-68.4,-74.25
0,,-71.9,-80.7,-70.15,-72.35
0,,-67.35,-74.45,-68.6,-73.95
0,,-61.75,-65.25,-60.4,-69.65
0,,-65,-68.4,-62.15,-70.65
-,0,-64.25,-64.4,-56.4,-65
-,0,-65.2,-63.05,-56,-60.7
-,0,-64.6,-64.2,-56.8,-62.85
-,0,-68.4,-66.6,-56.3,-64
-,0,-68.3,-64.25,-57.25,-62.3
-,0,-60.05,-65.15,-61.2,-67
-,0,-67.25,-64.05,-62.15,-65.75
0,0,-61.25,-64.2,-65.85,-64.7
0,0,-61.75,-63.4,-66.15,-63.75
0,0,-62.6,-64.5,-62.25,-65.85
0,0,-69,-63.85,-63.1,-64.75
0,0,-69,-64.9,-64.9,-66.25
0,0,-63.4,-63.35,-66.4,-61.35
0,0,-64.15,-67.4,-61.15,-67
0,0,-67.85,-71.75,-59.75,-63.7
0,0,-59.65,-66.35,-63.8,-65.75
0,0,-62.45,-66.3,-62.8,-64.4
0,0,-45.45,-60.2,-59.4,-53.4
0,0,-42.35,-56.6,-61.3,-57.35
0,0,0,-69.1,-72.85,-68.35
0,0,0,-62.5,-72.55,-66.9
0,0,0,-62.3,-74.4,-66.95
0,0,0,-62.65,-74.15,-66.75
0,0,-28.05,-62.9,-71.65,-66.55
0,0,-28.25,-62.7,-72.55,-66.7
0,0,-27.95,-62.4,-71.5,-66.8
0,0,-28.15,-62.8,-72.6,-66.65
0,0,-28.35,-63.05,-73.2,-66.8
0,0,-27.9,-62.9,-74.8,-66.8
0,0,-70.75,-66.4,-71.15,-70.1
0,0,-71.5,-67.95,-70.9,-68.75
0,0,-72,-65.95,-70.7,-69.3
0,0,-76.2,-70.85,-73.75,-71.45
0,0,-71.7,-68.45,-77.65,-68.8
0,0,-69.9,-71.4,-77.6,-67.05
0,0,-72.9,-68.35,-76.3,-68.75
0,0,-73.85,-68.8,-75.3,-70.4
0,0,-72.45,-64.25,-75.85,-67.9
0,0,-71.4,-64.45,-74.4,-67.4
0,0,-71.4,-69.6,-73.8,-68.7
0,0,-74.45,-70.25,-75.6,-70.1
0,0,-74.55,-71.5,-74.85,-70.8
0,0,-37.6,-63.15,-71.15,-66
0,0,-37.35,-64,-72.5,-65.2
0,0,-36.25,-65.4,-69.6,-66.2
